event,id,kickoff_time,opponent_team,team_a_score,team_h_score,team_a,team_h
1,5,2017-08-12T14:00:00Z,15,0,1,15,7
1,1,2017-08-11T18:45:00Z,9,3,4,9,1
1,7,2017-08-12T11:30:00Z,10,3,3,10,18
1,8,2017-08-12T14:00:00Z,2,0,1,2,19
1,10,2017-08-13T12:30:00Z,17,2,0,17,13
1,6,2017-08-12T14:00:00Z,16,0,0,16,14
1,9,2017-08-13T15:00:00Z,20,0,4,20,12
1,3,2017-08-12T14:00:00Z,4,3,2,4,5
1,4,2017-08-12T14:00:00Z,8,3,0,8,6
1,2,2017-08-12T16:30:00Z,11,2,0,11,3
10,92,2017-10-28T16:30:00Z,5,1,0,5,2
10,91,2017-10-28T14:00:00Z,16,1,2,16,1
10,99,2017-10-28T14:00:00Z,15,1,0,15,18
10,97,2017-10-28T14:00:00Z,8,0,3,8,10
10,94,2017-10-30T20:00:00Z,13,0,1,13,4
10,100,2017-10-28T14:00:00Z,11,3,2,11,19
10,96,2017-10-29T16:00:00Z,7,0,2,7,9
10,98,2017-10-28T11:30:00Z,17,0,1,17,12
10,95,2017-10-28T14:00:00Z,20,2,2,20,6
10,93,2017-10-29T13:30:00Z,14,1,1,14,3
11,109,2017-11-04T17:30:00Z,10,4,1,10,20
11,102,2017-11-05T16:30:00Z,18,2,3,18,7
11,103,2017-11-04T15:00:00Z,19,0,1,19,8
11,110,2017-11-05T14:15:00Z,1,1,3,1,11
11,104,2017-11-04T15:00:00Z,2,1,0,2,13
11,105,2017-11-04T15:00:00Z,4,1,0,4,14
11,107,2017-11-04T15:00:00Z,3,1,0,3,16
11,108,2017-11-05T12:00:00Z,6,0,1,6,17
11,101,2017-11-05T16:30:00Z,12,0,1,12,5
11,106,2017-11-04T12:30:00Z,9,2,2,9,15
12,112,2017-11-18T15:00:00Z,8,0,4,8,2
12,111,2017-11-18T12:30:00Z,17,0,2,17,1
12,119,2017-11-19T16:00:00Z,20,0,2,20,18
12,117,2017-11-18T15:00:00Z,14,0,3,14,10
12,114,2017-11-18T15:00:00Z,16,0,2,16,4
12,120,2017-11-18T15:00:00Z,5,4,0,5,19
12,116,2017-11-18T15:00:00Z,11,2,0,11,9
12,118,2017-11-18T17:30:00Z,13,1,4,13,12
12,115,2017-11-18T15:00:00Z,7,2,2,7,6
12,113,2017-11-20T20:00:00Z,15,2,2,15,3
13,129,2017-11-24T20:00:00Z,9,1,1,9,20
13,122,2017-11-26T16:00:00Z,11,2,1,11,8
13,123,2017-11-25T17:30:00Z,5,1,1,5,10
13,130,2017-11-26T14:00:00Z,1,1,0,1,4
13,125,2017-11-25T15:00:00Z,18,3,0,18,13
13,126,2017-11-26T13:30:00Z,7,1,4,7,14
13,127,2017-11-25T15:00:00Z,2,0,0,2,16
13,128,2017-11-25T15:00:00Z,19,1,1,19,17
13,124,2017-11-25T15:00:00Z,3,0,1,3,12
13,121,2017-11-25T15:00:00Z,15,1,2,15,6
14,138,2017-11-29T20:00:00Z,20,0,4,20,7
14,136,2017-11-29T19:45:00Z,4,2,1,4,2
14,135,2017-11-29T19:45:00Z,8,0,5,8,1
14,133,2017-11-28T20:00:00Z,12,4,2,12,18
14,134,2017-11-28T20:00:00Z,13,2,2,13,19
14,132,2017-11-28T19:45:00Z,17,1,2,17,9
14,139,2017-11-29T20:00:00Z,14,1,2,14,11
14,137,2017-11-29T19:45:00Z,16,0,1,16,5
14,131,2017-11-28T19:45:00Z,6,0,0,6,3
14,140,2017-11-29T20:00:00Z,10,3,0,10,15
15,145,2017-12-02T15:00:00Z,8,0,2,8,7
15,142,2017-12-03T13:30:00Z,14,1,1,14,2
15,141,2017-12-02T17:30:00Z,12,3,1,12,1
15,149,2017-12-02T15:00:00Z,17,1,1,17,18
15,150,2017-12-02T15:00:00Z,6,0,0,6,19
15,146,2017-12-02T15:00:00Z,4,0,1,4,9
15,147,2017-12-03T16:00:00Z,20,1,2,20,11
15,144,2017-12-02T12:30:00Z,13,1,3,13,5
15,143,2017-12-02T15:00:00Z,10,5,1,10,3
15,148,2017-12-02T15:00:00Z,16,1,2,16,15
16,159,2017-12-09T12:30:00Z,5,0,1,5,20
16,153,2017-12-09T15:00:00Z,3,0,2,3,8
16,154,2017-12-10T14:15:00Z,7,1,1,7,10
16,151,2017-12-09T15:00:00Z,18,0,1,18,4
16,156,2017-12-09T17:30:00Z,9,3,2,9,13
16,160,2017-12-10T12:00:00Z,1,1,1,1,14
16,157,2017-12-09T15:00:00Z,19,0,1,19,16
16,158,2017-12-09T15:00:00Z,15,1,5,15,17
16,155,2017-12-10T16:30:00Z,11,2,1,11,12
16,152,2017-12-09T15:00:00Z,2,2,2,2,6
17,170,2017-12-13T20:00:00Z,1,0,0,1,20
17,163,2017-12-12T20:00:00Z,5,3,1,5,8
17,166,2017-12-13T20:00:00Z,19,0,0,19,10
17,161,2017-12-12T19:45:00Z,15,0,1,15,4
17,167,2017-12-13T19:45:00Z,7,1,0,7,13
17,168,2017-12-13T19:45:00Z,9,4,1,9,14
17,165,2017-12-13T19:45:00Z,11,4,0,11,16
17,169,2017-12-13T20:00:00Z,3,0,2,3,17
17,164,2017-12-13T20:00:00Z,2,0,1,2,12
17,162,2017-12-12T20:00:00Z,18,1,2,18,6
18,175,2017-12-18T20:00:00Z,16,1,3,16,7
18,172,2017-12-17T16:30:00Z,10,4,0,10,2
18,171,2017-12-16T15:00:00Z,13,0,1,13,1
18,179,2017-12-16T15:00:00Z,8,4,1,8,18
18,180,2017-12-17T14:15:00Z,12,2,1,12,19
18,176,2017-12-16T12:30:00Z,6,3,0,6,9
18,177,2017-12-16T17:30:00Z,17,1,4,17,11
18,174,2017-12-16T15:00:00Z,14,0,1,14,5
18,173,2017-12-16T15:00:00Z,4,0,0,4,3
18,178,2017-12-16T16:00:00Z,20,3,0,20,15
19,190,2017-12-23T15:00:00Z,13,3,2,13,20
19,184,2017-12-23T12:30:00Z,5,0,0,5,7
19,181,2017-12-22T19:45:00Z,10,3,3,10,1
19,183,2017-12-23T17:30:00Z,17,3,0,17,4
19,185,2017-12-23T19:45:00Z,12,2,2,12,9
19,186,2017-12-23T15:00:00Z,2,0,4,2,11
19,187,2017-12-23T15:00:00Z,8,1,1,8,14
19,189,2017-12-23T15:00:00Z,6,1,1,6,16
19,182,2017-12-23T15:00:00Z,18,0,1,18,3
19,188,2017-12-23T15:00:00Z,19,1,3,19,15
2,18,2017-08-20T12:30:00Z,13,0,1,13,8
2,11,2017-08-19T14:00:00Z,18,2,0,18,2
2,14,2017-08-19T14:00:00Z,6,0,1,6,10
2,13,2017-08-19T14:00:00Z,3,0,2,3,9
2,20,2017-08-21T19:00:00Z,7,1,1,7,11
2,15,2017-08-19T14:00:00Z,20,2,3,20,14
2,17,2017-08-19T11:30:00Z,12,4,0,12,16
2,12,2017-08-19T14:00:00Z,19,1,0,19,4
2,19,2017-08-20T15:00:00Z,5,2,1,5,17
2,16,2017-08-19T16:30:00Z,1,0,1,1,15
