element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
577,29,5,0,False,2021-08-29T13:00:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0,0,0
577,36,11,0,True,2021-09-12T15:30:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,10639,14157,16283,5644
577,46,14,0,False,2021-09-17T19:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,8835,24397,12824,3989
577,56,19,0,True,2021-09-25T14:00:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,2367,27367,6210,3843
577,65,18,0,True,2021-10-02T14:00:00Z,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1848,25536,2071,3919
577,79,16,1,False,2021-10-16T14:00:00Z,1,0,8,13,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.3,0.0,0.1,45,-998,25239,1817,2815
577,87,20,4,True,2021-10-23T14:00:00Z,1,1,9,27,0,1,0,0,0,0,0,0,0,0,0,9,5.0,10.8,55.0,7.1,45,4015,30618,6569,2554
577,97,15,0,False,2021-10-31T14:00:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,35144,72899,41529,6385
577,107,9,0,True,2021-11-07T14:00:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,9954,81093,17929,7975
577,118,17,1,False,2021-11-21T16:30:00Z,2,1,12,86,0,0,0,2,0,0,0,1,0,0,0,3,8.0,1.6,60.0,7.0,45,1593,82712,11760,10167
577,123,4,0,False,2021-11-27T17:30:00Z,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,11876,96199,19244,7368
577,133,7,0,True,2021-11-30T20:15:00Z,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,5108,101203,10918,5810
577,143,3,0,True,2021-12-05T14:00:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,9704,111948,17598,7894
577,155,6,7,False,2021-12-11T15:00:00Z,3,2,16,8,1,0,0,1,0,0,0,0,0,0,2,28,35.2,10.3,33.0,7.9,45,4637,118384,15716,11079
577,170,12,1,False,2021-12-14T20:00:00Z,7,0,17,45,0,0,0,4,0,0,0,0,0,0,0,5,3.4,1.4,0.0,0.5,45,33394,157330,41852,8458
577,173,1,4,True,2021-12-18T17:30:00Z,1,4,18,90,0,1,0,4,0,0,0,1,0,0,0,7,0.0,0.5,6.0,0.4,46,88984,369524,99524,10540
577,206,5,4,True,2022-01-02T14:00:00Z,3,1,21,32,0,1,0,0,0,0,0,0,0,0,0,11,16.0,14.1,10.0,4.0,46,5529,252946,40987,35458
577,219,19,0,False,2022-01-16T14:00:00Z,2,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-56913,171545,22633,79546
577,226,14,1,True,2022-01-22T15:00:00Z,0,1,23,10,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.5,2.0,0.5,46,-28211,170232,5107,33318
577,231,2,0,False,2022-02-09T20:00:00Z,3,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,16926,191231,31894,14968
577,244,8,0,False,2022-02-12T15:00:00Z,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,18714,211153,31467,12753
577,255,13,1,True,2022-02-20T14:00:00Z,2,4,26,45,0,0,0,2,0,0,0,0,0,0,0,1,9.4,20.8,43.0,7.3,46,7965,224179,28938,20973
577,184,11,0,False,2022-02-23T19:45:00Z,6,0,26,29,0,0,0,3,0,0,0,1,0,0,0,-1,0.0,0.1,0.0,0.0,46,7965,224179,28938,20973
577,267,17,0,True,2022-02-26T12:30:00Z,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-6163,210941,17778,23941
577,273,9,1,False,2022-03-05T12:30:00Z,1,0,28,27,0,0,0,1,0,0,0,0,0,0,0,-2,0.0,0.8,36.0,3.6,46,1194,211923,25274,24080
577,196,2,0,True,2022-03-10T19:45:00Z,0,3,28,45,0,0,0,2,0,0,0,1,0,0,0,-2,1.2,0.7,25.0,2.7,46,1194,211923,25274,24080
577,287,15,6,True,2022-03-13T14:00:00Z,2,1,29,1,1,0,0,0,0,0,0,0,0,0,1,30,33.2,0.1,33.0,6.6,46,33789,256862,50276,16487
577,300,20,0,False,2022-03-18T20:00:00Z,2,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,10864,240490,25874,15010
577,305,16,1,True,2022-04-02T14:00:00Z,1,1,31,31,0,0,0,0,0,0,0,0,0,0,0,5,2.6,0.8,6.0,0.9,46,36486,297609,50318,13832
577,320,18,0,False,2022-04-09T14:00:00Z,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,1301,297515,19443,18142
577,336,7,1,False,2022-04-25T19:00:00Z,0,0,34,16,0,0,0,0,0,0,0,0,0,0,0,5,7.0,0.0,9.0,1.6,47,24880,328235,40904,16024
577,343,12,1,True,2022-04-30T16:30:00Z,0,4,35,28,0,0,0,2,0,0,0,0,0,0,0,3,5.2,13.5,43.0,6.2,47,-327,326023,16367,16694
577,351,1,1,False,2022-05-08T13:00:00Z,2,1,36,28,0,0,0,2,0,0,0,0,0,0,0,2,0.0,1.3,0.0,0.0,47,5625,336656,33215,27590
577,323,6,1,True,2022-05-11T18:30:00Z,0,3,36,12,0,0,0,1,0,0,0,0,0,0,0,8,4.0,15.3,0.0,1.9,47,5625,336656,33215,27590
577,363,4,5,True,2022-05-15T13:00:00Z,1,1,37,90,0,1,0,1,0,0,0,0,0,0,0,12,15.6,22.3,49.0,8.7,47,2557,325496,27502,24945
577,372,3,2,False,2022-05-22T15:00:00Z,1,2,38,70,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,39661,391056,55974,16313
