element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
36,7,19,2,False,2024-08-17T16:30:00Z,1,2,1,73,0,0,0,1,0,0,0,0,0,0,0,14,14.4,19.2,0.0,3.4,1,0.00,0.13,0.13,1.39,45,0,196248,0,0
36,11,1,2,True,2024-08-24T16:30:00Z,0,2,2,75,0,0,0,1,0,0,0,0,0,0,0,8,18.6,1.8,0.0,2.0,1,0.00,0.03,0.03,0.49,45,-3133,214862,11294,14427
36,26,11,7,False,2024-08-31T14:00:00Z,1,2,3,90,0,1,0,1,0,0,0,0,0,0,2,23,36.4,19.9,0.0,5.6,1,0.00,0.10,0.10,0.45,45,57893,290051,89835,31942
36,31,8,4,True,2024-09-14T16:30:00Z,3,2,4,68,0,1,0,2,0,0,0,0,0,0,0,26,30.8,54.0,2.0,8.7,1,0.00,0.68,0.68,0.67,46,331785,660174,404275,72490
36,41,20,1,True,2024-09-21T14:00:00Z,3,1,5,45,0,0,0,1,0,0,0,0,0,0,0,0,2.2,2.5,0.0,0.5,1,0.00,0.01,0.01,0.51,46,163695,830162,187411,23716
36,56,10,0,False,2024-09-29T13:00:00Z,2,2,6,83,0,0,0,2,0,0,0,1,0,0,0,4,17.8,4.8,0.0,2.3,1,0.00,0.02,0.02,1.12,46,12028,839769,92568,80540
36,62,14,8,True,2024-10-06T13:00:00Z,0,0,7,84,0,0,1,0,0,0,0,0,0,0,2,30,11.2,16.9,1.0,2.9,1,0.05,0.08,0.13,0.42,46,-57794,780008,26706,84500
36,72,9,4,False,2024-10-19T14:00:00Z,1,3,8,90,0,1,0,1,0,0,0,1,0,0,0,13,12.6,3.8,27.0,4.3,1,0.22,0.04,0.26,1.78,46,30332,820415,60515,30183
36,82,3,7,True,2024-10-26T14:00:00Z,1,1,9,70,0,0,1,0,0,0,0,1,0,0,2,22,11.2,27.5,2.0,4.1,1,0.00,0.41,0.41,0.18,46,57334,886984,75571,18237
36,99,18,0,False,2024-11-03T14:00:00Z,4,1,10,90,0,0,0,4,0,0,0,0,0,0,0,5,27.8,53.8,3.0,8.5,1,0.02,0.15,0.17,2.44,47,125708,1017963,173299,47591
36,105,12,2,False,2024-11-09T20:00:00Z,2,0,11,73,0,0,0,1,0,0,0,0,0,0,0,7,12.8,33.0,9.0,5.5,1,0.23,0.15,0.38,1.35,47,-40687,970076,38273,78960
36,112,7,1,True,2024-11-23T15:00:00Z,2,2,12,21,0,0,0,0,0,0,0,0,0,0,0,4,3.8,1.0,0.0,0.5,0,0.00,0.00,0.00,0.24,47,115527,1105733,148027,32500
36,123,6,1,False,2024-12-01T13:30:00Z,3,0,13,90,0,0,0,3,0,0,0,0,0,0,0,-3,13.2,15.0,2.0,3.0,1,0.00,0.03,0.03,1.61,47,-50460,1044429,22328,72788
