goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.07914267480373383,90,FW,Valencia,Espanyol,2,2,2023-05-28,19330,2022,601479,0.01593581587076187,0,1,0,0.07914267480373383,0.07914267480373383,0
1,6,1.2021125555038452,90,FW,Espanyol,Atletico Madrid,3,3,2023-05-24,19317,2022,599655,0.10475077480077744,0,1,0,0.4588348865509033,0.4974517524242401,0.1774701178073883
0,1,0.048355262726545334,90,FW,Rayo Vallecano,Espanyol,1,2,2023-05-21,19307,2022,598661,0,0,0,0,0.048355262726545334,0.15439780056476593,0.1060425341129303
1,5,1.319139003753662,90,FW,Espanyol,Barcelona,2,4,2023-05-14,19299,2022,597509,0.013914421200752258,0,1,1,1.319139003753662,0.7954199910163879,0.09381019324064255
0,2,0.37700819969177246,90,FW,Sevilla,Espanyol,3,2,2023-05-04,19291,2022,594267,0,0,0,0,0.37700819969177246,0.37700819969177246,0
1,2,0.8405696153640747,90,FW,Espanyol,Getafe,1,0,2023-04-30,19275,2022,593389,0.1115727573633194,0,1,0,0.097291961312294,0.6575075387954712,0.4486428499221802
1,4,0.4470377564430237,90,FW,Villarreal,Espanyol,4,2,2023-04-27,19270,2022,591825,0,0,0,1,0.4470377564430237,0.4636705219745636,0.016632748767733574
0,5,0.9949036240577698,90,FW,Espanyol,Cadiz,0,0,2023-04-21,19259,2022,589744,0.014064943417906761,0,1,0,0.9949036240577698,0.8436851501464844,0.07146845757961273
0,7,0.25992101430892944,90,FW,Real Betis,Espanyol,3,1,2023-04-15,19243,2022,588722,0,0,0,0,0.25992101430892944,0.15277500450611115,0
0,1,0.023290099576115608,90,FW,Espanyol,Athletic Club,1,2,2023-04-08,19236,2022,586844,0,0,0,0,0.023290099576115608,0.023290099576115608,0
0,1,0.035541001707315445,90,FW,Girona,Espanyol,2,1,2023-04-01,19228,2022,584418,0.12672199308872223,0,2,0,0.035541001707315445,0.16226300597190857,0
0,3,0.4554620087146759,90,FW,Espanyol,Celta Vigo,1,3,2023-03-18,19219,2022,583297,0.04808589816093445,0,1,0,0.4554620087146759,0.5557489991188049,0.052201200276613235
1,3,0.4205000102519989,90,FW,Real Madrid,Espanyol,3,1,2023-03-11,19209,2022,580972,0,0,0,1,0.4205000102519989,0.4205000102519989,0
0,2,0.1464489996433258,90,FW,Real Valladolid,Espanyol,2,1,2023-03-05,19201,2022,580057,0.05773549899458885,0,1,0,0.1464489996433258,0.33429500460624695,0.1301099956035614
0,0,0,19,Sub,Espanyol,Mallorca,2,1,2023-02-25,19187,2022,577626,0.04706040024757385,0,1,0,0,0.04706040024757385,0
1,1,0.568572998046875,90,FW,Almeria,Espanyol,3,1,2023-01-27,19144,2022,571452,0.04491940140724182,0,1,1,0.568572998046875,0.6134920120239258,0
0,1,0.14223900437355042,90,FW,Espanyol,Real Betis,1,0,2023-01-21,19137,2022,570271,0.5637990236282349,0,1,0,0.14223900437355042,0.14223900437355042,0
