fpl_code,understat_id,fpl_name,understat_name
76306,62,Lukas Rupp,Lukas Rupp
165153,65,Timo Werner,Timo Werner
119471,76,Fabian Schär,Fabian Schär
180974,87,Joelinton Cássio Apolinário de Lira,Joelinton
170137,101,Allan Saint-Maximin,Allan Saint-Maximin
93100,111,Jannik Vestergaard,Jannik Vestergaard
80201,181,Bernd Leno,Bernd Leno
135363,200,Andreas Christensen,Andreas Christensen
84450,204,Granit Xhaka,Granit Xhaka
61558,229,Thiago Alcántara do Nascimento,Thiago Alcántara
60307,239,Pascal Groß,Pascal Groß
59859,314,Ilkay Gündogan,Ilkay Gündogan
54694,318,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang
60914,332,Joel Matip,Joel Matip
111457,342,Sead Kolasinac,Sead Kolasinac
132015,343,Pierre-Emile Højbjerg,Pierre-Emile Højbjerg
61366,447,Kevin De Bruyne,Kevin De Bruyne
85971,453,Heung-Min Son,Son Heung-Min
56983,461,Matt Ritchie,Matt Ritchie
40387,462,Dan Gosling,Dan Gosling
78007,465,Joshua King,Joshua King
75115,468,Callum Wilson,Callum Wilson
92217,482,Roberto Firmino,Roberto Firmino
152760,484,Divock Origi,Divock Origi
39155,486,Adam Lallana,Adam Lallana
84583,488,Philippe Coutinho Correia,Philippe Coutinho
15157,489,James Milner,James Milner
98745,492,Héctor Bellerín,Héctor Bellerín
153256,496,Mohamed Naser El Sayed Elneny,Mohamed Elneny
153133,500,Alex Iwobi,Alex Iwobi
50175,501,Danny Welbeck,Danny Welbeck
44346,502,Olivier Giroud,Olivier Giroud
20467,503,Theo Walcott,Theo Walcott
101184,508,Calum Chambers,Calum Chambers
20066,509,Wayne Hennessey,Wayne Hennessey
55494,510,Joel Ward,Joel Ward
82403,522,Wilfried Zaha,Wilfried Zaha
58786,525,Martin Kelly,Martin Kelly
60706,527,Adrián San Miguel del Castillo,Adrián
40669,528,Angelo Ogbonna,Angelo Ogbonna
48717,529,Winston Reid,Winston Reid
49413,530,James Tomkins,James Tomkins
57531,531,Michail Antonio,Michail Antonio
55037,532,Cheikhou Kouyaté,Cheikhou Kouyaté
18073,533,Mark Noble,Mark Noble
55459,534,Aaron Cresswell,Aaron Cresswell
86934,535,Manuel Lanzini,Manuel Lanzini
32259,540,Darren Randolph,Darren Randolph
51940,546,David de Gea,David de Gea
148225,553,Anthony Martial,Anthony Martial
43670,554,Juan Mata,Juan Mata
176297,556,Marcus Rashford,Marcus Rashford
109322,558,Jesse Lingard,Jesse Lingard
41725,574,Troy Deeney,Troy Deeney
126184,579,Nathan Aké,Nathan Aké
41338,581,Craig Cathcart,Craig Cathcart
59949,585,Seamus Coleman,Seamus Coleman
97299,586,John Stones,John Stones
88894,592,Ross Barkley,Ross Barkley
17349,593,Aaron Lennon,Aaron Lennon
66749,594,Romelu Lukaku,Romelu Lukaku
43250,596,Tom Cleverley,Tom Cleverley
57328,603,Nathaniel Clyne,Nathaniel Clyne
56979,605,Jordan Henderson,Jordan Henderson
54861,606,Christian Benteke,Christian Benteke
15749,609,Joe Hart,Joe Hart
27789,614,Fernando Luiz Rosa,Fernandinho
103955,618,Raheem Sterling,Raheem Sterling
173515,620,Kelechi Iheanacho,Kelechi Iheanacho
20310,624,Willy Caballero,Willy Caballero
18892,631,Ashley Young,Ashley Young
50471,633,James McArthur,James McArthur
58376,635,Alex McCarthy,Alex McCarthy
37915,637,Hugo Lloris,Hugo Lloris
58621,638,Kyle Walker,Kyle Walker
55605,639,Toby Alderweireld,Toby Alderweireld
38290,641,Danny Rose,Danny Rose
93264,643,Eric Dier,Eric Dier
62974,644,Erik Lamela,Erik Lamela
108823,645,Bamidele Alli,Dele Alli
80607,646,Christian Eriksen,Christian Eriksen
78830,647,Harry Kane,Harry Kane
77794,652,Kieran Trippier,Kieran Trippier
115556,660,Ben Davies,Ben Davies
60551,669,Ashley Westwood,Ashley Westwood
80146,672,Jordan Ayew,Jordan Ayew
114283,675,Jack Grealish,Jack Grealish
41328,681,César Azpilicueta,César Azpilicueta
126187,688,Ruben Loftus-Cheek,Ruben Loftus-Cheek
40349,694,Asmir Begovic,Asmir Begovic
110504,695,Bertrand Traoré,Bertrand Traoré
62398,697,Nemanja Matic,Nemanja Matic
173879,702,Tammy Abraham,Tammy Abraham
37096,706,Lukasz Fabianski,Lukasz Fabianski
57145,708,Federico Fernández,Federico Fernández
40145,712,Jack Cork,Jack Cork
55422,714,Gylfi Sigurdsson,Gylfi Sigurdsson
111234,741,Jordan Pickford,Jordan Pickford
104547,743,Dwight Gayle,Dwight Gayle
17745,745,Kasper Schmeichel,Kasper Schmeichel
103025,750,Riyad Mahrez,Riyad Mahrez
116594,751,N'Golo Kanté,N&#039;Golo Kanté
51938,753,Marc Albrighton,Marc Albrighton
101668,755,Jamie Vardy,Jamie Vardy
86417,757,Jeffrey Schlupp,Jeffrey Schlupp
155569,759,Daniel Amartey,Daniel Amartey
172632,762,Demarai Gray,Demarai Gray
19838,763,Robert Elliot,Robert Elliot
101148,766,Jamaal Lascelles,Jamaal Lascelles
50232,769,Jonjo Shelvey,Jonjo Shelvey
168580,770,Ayoze Pérez,Ayoze Pérez
45268,772,Moussa Sissoko,Moussa Sissoko
60252,775,Andros Townsend,Andros Townsend
59735,780,Karl Darlow,Karl Darlow
172850,782,Benjamin Chilwell,Ben Chilwell
19236,785,John Ruddy,John Ruddy
83283,790,Nathan Redmond,Nathan Redmond
9089,803,Ben Foster,Ben Foster
60232,804,Craig Dawson,Craig Dawson
37642,807,Jonny Evans,Jonny Evans
57134,813,Salomón Rondón,Salomón Rondón
106617,822,Patrick Bamford,Patrick Bamford
40383,831,Fraser Forster,Fraser Forster
