id,isResult,h,a,goals,xG,datetime,forecast
11643,True,87,79,"{'h': '4', 'a': '1'}","{'h': '2.23456', 'a': '0.842407'}",2019-08-09 20:00:00,"{'w': '0.7377', 'd': '0.1732', 'l': '0.0891'}"
11644,True,81,88,"{'h': '0', 'a': '5'}","{'h': '1.2003', 'a': '3.18377'}",2019-08-10 12:30:00,"{'w': '0.0452', 'd': '0.1166', 'l': '0.8382'}"
11645,True,73,238,"{'h': '1', 'a': '1'}","{'h': '1.34099', 'a': '1.59864'}",2019-08-10 15:00:00,"{'w': '0.2083', 'd': '0.3923', 'l': '0.3994'}"
11646,True,92,74,"{'h': '3', 'a': '0'}","{'h': '0.909241', 'a': '1.08752'}",2019-08-10 15:00:00,"{'w': '0.266', 'd': '0.3442', 'l': '0.3898'}"
11647,True,78,72,"{'h': '0', 'a': '0'}","{'h': '0.87159', 'a': '1.2246'}",2019-08-10 15:00:00,"{'w': '0.2427', 'd': '0.3231', 'l': '0.4342'}"
11648,True,90,220,"{'h': '0', 'a': '3'}","{'h': '0.670022', 'a': '0.855516'}",2019-08-10 15:00:00,"{'w': '0.2434', 'd': '0.362', 'l': '0.3946'}"
11649,True,82,71,"{'h': '3', 'a': '1'}","{'h': '2.57262', 'a': '0.639599'}",2019-08-10 17:30:00,"{'w': '0.822', 'd': '0.1273', 'l': '0.0507'}"
11650,True,86,83,"{'h': '0', 'a': '1'}","{'h': '0.380551', 'a': '1.13309'}",2019-08-11 14:00:00,"{'w': '0.1052', 'd': '0.3057', 'l': '0.5891'}"
11651,True,75,229,"{'h': '0', 'a': '0'}","{'h': '0.543759', 'a': '0.812949'}",2019-08-11 14:00:00,"{'w': '0.2174', 'd': '0.3819', 'l': '0.4007'}"
11652,True,89,80,"{'h': '4', 'a': '0'}","{'h': '2.37442', 'a': '1.09534'}",2019-08-11 16:30:00,"{'w': '0.7148', 'd': '0.1782', 'l': '0.107'}"
11653,True,83,92,"{'h': '2', 'a': '1'}","{'h': '1.1644', 'a': '1.39172'}",2019-08-17 12:30:00,"{'w': '0.2899', 'd': '0.2836', 'l': '0.4265'}"
11654,True,71,73,"{'h': '1', 'a': '2'}","{'h': '1.65069', 'a': '1.62777'}",2019-08-17 15:00:00,"{'w': '0.3658', 'd': '0.2724', 'l': '0.3618'}"
11655,True,220,81,"{'h': '1', 'a': '1'}","{'h': '2.40461', 'a': '1.00856'}",2019-08-17 15:00:00,"{'w': '0.7183', 'd': '0.179', 'l': '0.1027'}"
11656,True,72,90,"{'h': '1', 'a': '0'}","{'h': '0.832913', 'a': '1.17279'}",2019-08-17 15:00:00,"{'w': '0.231', 'd': '0.322', 'l': '0.447'}"
11657,True,79,86,"{'h': '3', 'a': '1'}","{'h': '2.09572', 'a': '0.920429'}",2019-08-17 15:00:00,"{'w': '0.68', 'd': '0.1975', 'l': '0.1225'}"
11658,True,74,87,"{'h': '1', 'a': '2'}","{'h': '2.14047', 'a': '1.52022'}",2019-08-17 15:00:00,"{'w': '0.5327', 'd': '0.2278', 'l': '0.2395'}"
11659,True,88,82,"{'h': '2', 'a': '2'}","{'h': '3.20076', 'a': '0.074542'}",2019-08-17 17:30:00,"{'w': '0.9674', 'd': '0.0301', 'l': '0.0025'}"
11660,True,238,78,"{'h': '1', 'a': '0'}","{'h': '1.84778', 'a': '0.241912'}",2019-08-18 14:00:00,"{'w': '0.8326', 'd': '0.1408', 'l': '0.0266'}"
11661,True,80,75,"{'h': '1', 'a': '1'}","{'h': '1.22629', 'a': '0.947941'}",2019-08-18 16:30:00,"{'w': '0.4391', 'd': '0.3008', 'l': '0.2601'}"
11662,True,229,89,"{'h': '1', 'a': '1'}","{'h': '0.307356', 'a': '1.14332'}",2019-08-19 20:00:00,"{'w': '0.0594', 'd': '0.2597', 'l': '0.6809'}"
11663,True,71,72,"{'h': '2', 'a': '0'}","{'h': '0.855926', 'a': '1.25668'}",2019-08-23 20:00:00,"{'w': '0.2213', 'd': '0.3058', 'l': '0.4729'}"
11664,True,79,80,"{'h': '2', 'a': '3'}","{'h': '1.07904', 'a': '1.89428'}",2019-08-24 12:30:00,"{'w': '0.1759', 'd': '0.2595', 'l': '0.5646'}"
11665,True,238,75,"{'h': '1', 'a': '2'}","{'h': '0.654318', 'a': '0.704879'}",2019-08-24 15:00:00,"{'w': '0.2916', 'd': '0.4017', 'l': '0.3067'}"
11666,True,220,74,"{'h': '0', 'a': '2'}","{'h': '0.997711', 'a': '2.07795'}",2019-08-24 15:00:00,"{'w': '0.1192', 'd': '0.2115', 'l': '0.6693'}"
11667,True,90,81,"{'h': '1', 'a': '3'}","{'h': '2.29348', 'a': '3.45768'}",2019-08-24 15:00:00,"{'w': '0.1537', 'd': '0.1778', 'l': '0.6685'}"
11669,True,89,78,"{'h': '1', 'a': '2'}","{'h': '2.23561', 'a': '0.676993'}",2019-08-24 15:00:00,"{'w': '0.7755', 'd': '0.1616', 'l': '0.0629'}"
11670,True,87,83,"{'h': '3', 'a': '1'}","{'h': '2.78821', 'a': '0.985542'}",2019-08-24 17:30:00,"{'w': '0.7948', 'd': '0.1361', 'l': '0.0691'}"
11671,True,73,88,"{'h': '1', 'a': '3'}","{'h': '1.89345', 'a': '3.12856'}",2019-08-25 14:00:00,"{'w': '0.1625', 'd': '0.1736', 'l': '0.6639'}"
11668,True,229,92,"{'h': '1', 'a': '1'}","{'h': '1.32793', 'a': '1.22762'}",2019-08-25 16:30:00,"{'w': '0.3879', 'd': '0.307', 'l': '0.3051'}"
11672,True,82,86,"{'h': '0', 'a': '1'}","{'h': '1.25927', 'a': '0.51428'}",2019-08-25 16:30:00,"{'w': '0.5898', 'd': '0.2775', 'l': '0.1327'}"
11673,True,74,89,"{'h': '1', 'a': '1'}","{'h': '0.769616', 'a': '1.90356'}",2019-08-31 12:30:00,"{'w': '0.1186', 'd': '0.2211', 'l': '0.6603'}"
11674,True,81,79,"{'h': '2', 'a': '0'}","{'h': '2.20657', 'a': '1.1674'}",2019-08-31 15:00:00,"{'w': '0.6298', 'd': '0.2265', 'l': '0.1437'}"
11675,True,80,238,"{'h': '2', 'a': '2'}","{'h': '2.30579', 'a': '1.04649'}",2019-08-31 15:00:00,"{'w': '0.6944', 'd': '0.1949', 'l': '0.1107'}"
11676,True,78,71,"{'h': '1', 'a': '0'}","{'h': '1.41394', 'a': '0.30354'}",2019-08-31 15:00:00,"{'w': '0.6771', 'd': '0.2444', 'l': '0.0785'}"
11677,True,75,73,"{'h': '3', 'a': '1'}","{'h': '2.23766', 'a': '0.554726'}",2019-08-31 15:00:00,"{'w': '0.8226', 'd': '0.1353', 'l': '0.0421'}"
11678,True,88,220,"{'h': '4', 'a': '0'}","{'h': '2.30818', 'a': '0.861035'}",2019-08-31 15:00:00,"{'w': '0.7359', 'd': '0.1772', 'l': '0.0869'}"
11679,True,86,90,"{'h': '1', 'a': '1'}","{'h': '1.04131', 'a': '1.1068'}",2019-08-31 15:00:00,"{'w': '0.3299', 'd': '0.3121', 'l': '0.358'}"
11680,True,92,87,"{'h': '0', 'a': '3'}","{'h': '0.61739', 'a': '1.20057'}",2019-08-31 17:30:00,"{'w': '0.1772', 'd': '0.3171', 'l': '0.5057'}"
11681,True,72,229,"{'h': '3', 'a': '2'}","{'h': '1.48842', 'a': '2.00172'}",2019-09-01 14:00:00,"{'w': '0.2455', 'd': '0.2459', 'l': '0.5086'}"
11682,True,83,82,"{'h': '2', 'a': '2'}","{'h': '1.92509', 'a': '1.95514'}",2019-09-01 16:30:00,"{'w': '0.3461', 'd': '0.2536', 'l': '0.4003'}"
11683,True,87,86,"{'h': '3', 'a': '1'}","{'h': '2.93281', 'a': '0.291073'}",2019-09-14 11:30:00,"{'w': '0.9452', 'd': '0.0464', 'l': '0.0084'}"
11684,True,89,75,"{'h': '1', 'a': '0'}","{'h': '1.10019', 'a': '0.459141'}",2019-09-14 14:00:00,"{'w': '0.5865', 'd': '0.3062', 'l': '0.1073'}"
11685,True,220,92,"{'h': '1', 'a': '1'}","{'h': '1.68545', 'a': '0.341654'}",2019-09-14 14:00:00,"{'w': '0.7641', 'd': '0.1893', 'l': '0.0466'}"
11686,True,238,74,"{'h': '0', 'a': '1'}","{'h': '1.88034', 'a': '1.57659'}",2019-09-14 14:00:00,"{'w': '0.4428', 'd': '0.2527', 'l': '0.3045'}"
11687,True,82,78,"{'h': '4', 'a': '0'}","{'h': '1.04944', 'a': '0.577323'}",2019-09-14 14:00:00,"{'w': '0.4879', 'd': '0.3328', 'l': '0.1793'}"
11688,True,229,80,"{'h': '2', 'a': '5'}","{'h': '1.49359', 'a': '3.06799'}",2019-09-14 14:00:00,"{'w': '0.0809', 'd': '0.1625', 'l': '0.7566'}"
11689,True,79,88,"{'h': '3', 'a': '2'}","{'h': '1.7413', 'a': '2.34436'}",2019-09-14 16:30:00,"{'w': '0.2487', 'd': '0.2462', 'l': '0.5051'}"
11690,True,73,72,"{'h': '3', 'a': '1'}","{'h': '1.41542', 'a': '1.50641'}",2019-09-15 13:00:00,"{'w': '0.3385', 'd': '0.2793', 'l': '0.3822'}"
11691,True,90,83,"{'h': '2', 'a': '2'}","{'h': '2.83209', 'a': '1.00616'}",2019-09-15 15:30:00,"{'w': '0.8062', 'd': '0.1365', 'l': '0.0573'}"
11692,True,71,81,"{'h': '0', 'a': '0'}","{'h': '1.40502', 'a': '0.535279'}",2019-09-16 19:00:00,"{'w': '0.6373', 'd': '0.2496', 'l': '0.1131'}"
11693,True,74,73,"{'h': '1', 'a': '3'}","{'h': '2.18021', 'a': '1.29773'}",2019-09-20 19:00:00,"{'w': '0.5961', 'd': '0.2395', 'l': '0.1644'}"
11694,True,75,82,"{'h': '2', 'a': '1'}","{'h': '1.28752', 'a': '1.33735'}",2019-09-21 11:30:00,"{'w': '0.3433', 'd': '0.2798', 'l': '0.3769'}"
11695,True,88,90,"{'h': '8', 'a': '0'}","{'h': '6.63049', 'a': '0.344718'}",2019-09-21 14:00:00,"{'w': '0.9996', 'd': '0.0004', 'l': '0'}"
11696,True,92,79,"{'h': '2', 'a': '0'}","{'h': '2.39312', 'a': '0.801428'}",2019-09-21 14:00:00,"{'w': '0.7897', 'd': '0.1472', 'l': '0.0631'}"
11698,True,72,238,"{'h': '0', 'a': '2'}","{'h': '1.26041', 'a': '0.508011'}",2019-09-21 14:00:00,"{'w': '0.5598', 'd': '0.3092', 'l': '0.131'}"
11699,True,86,220,"{'h': '0', 'a': '0'}","{'h': '1.09807', 'a': '1.21592'}",2019-09-21 16:30:00,"{'w': '0.3232', 'd': '0.3006', 'l': '0.3762'}"
11697,True,78,229,"{'h': '1', 'a': '1'}","{'h': '0.984777', 'a': '1.75572'}",2019-09-22 13:00:00,"{'w': '0.1739', 'd': '0.2419', 'l': '0.5842'}"
11700,True,81,89,"{'h': '2', 'a': '0'}","{'h': '0.51376', 'a': '1.27826'}",2019-09-22 13:00:00,"{'w': '0.1197', 'd': '0.2714', 'l': '0.6089'}"
11701,True,80,87,"{'h': '1', 'a': '2'}","{'h': '1.23321', 'a': '1.03003'}",2019-09-22 15:30:00,"{'w': '0.4027', 'd': '0.311', 'l': '0.2863'}"
11702,True,83,71,"{'h': '3', 'a': '2'}","{'h': '2.53209', 'a': '1.71546'}",2019-09-22 15:30:00,"{'w': '0.5722', 'd': '0.2195', 'l': '0.2083'}"
11703,True,238,87,"{'h': '0', 'a': '1'}","{'h': '1.17022', 'a': '1.97079'}",2019-09-28 11:30:00,"{'w': '0.18', 'd': '0.2402', 'l': '0.5798'}"
11704,True,82,74,"{'h': '2', 'a': '1'}","{'h': '1.19008', 'a': '1.16256'}",2019-09-28 14:00:00,"{'w': '0.3564', 'd': '0.3113', 'l': '0.3323'}"
11705,True,229,90,"{'h': '2', 'a': '0'}","{'h': '1.16363', 'a': '1.06615'}",2019-09-28 14:00:00,"{'w': '0.3492', 'd': '0.3828', 'l': '0.268'}"
11706,True,71,92,"{'h': '2', 'a': '2'}","{'h': '0.914266', 'a': '1.66919'}",2019-09-28 14:00:00,"{'w': '0.1745', 'd': '0.2428', 'l': '0.5827'}"
11707,True,73,81,"{'h': '2', 'a': '2'}","{'h': '2.31957', 'a': '1.29546'}",2019-09-28 14:00:00,"{'w': '0.6247', 'd': '0.2012', 'l': '0.1741'}"
11708,True,80,220,"{'h': '2', 'a': '0'}","{'h': '4.26443', 'a': '0.616263'}",2019-09-28 14:00:00,"{'w': '0.9712', 'd': '0.0225', 'l': '0.0063'}"
11709,True,78,79,"{'h': '2', 'a': '0'}","{'h': '1.80497', 'a': '0.712129'}",2019-09-28 14:00:00,"{'w': '0.6775', 'd': '0.2208', 'l': '0.1017'}"
11711,True,72,88,"{'h': '1', 'a': '3'}","{'h': '2.35854', 'a': '3.1082'}",2019-09-28 16:30:00,"{'w': '0.2424', 'd': '0.2121', 'l': '0.5455'}"
11710,True,75,86,"{'h': '5', 'a': '0'}","{'h': '1.82438', 'a': '0.054134'}",2019-09-29 15:30:00,"{'w': '0.8912', 'd': '0.1032', 'l': '0.0056'}"
11712,True,89,83,"{'h': '1', 'a': '1'}","{'h': '1.1335', 'a': '1.70399'}",2019-09-30 19:00:00,"{'w': '0.2214', 'd': '0.2554', 'l': '0.5232'}"
11713,True,220,82,"{'h': '3', 'a': '0'}","{'h': '2.60017', 'a': '0.478504'}",2019-10-05 12:30:00,"{'w': '0.9194', 'd': '0.067', 'l': '0.0136'}"
11714,True,92,72,"{'h': '1', 'a': '0'}","{'h': '0.558912', 'a': '1.30723'}",2019-10-05 15:00:00,"{'w': '0.1354', 'd': '0.2707', 'l': '0.5939'}"
11715,True,87,75,"{'h': '2', 'a': '1'}","{'h': '3.74867', 'a': '0.0982107'}",2019-10-05 15:00:00,"{'w': '0.9902', 'd': '0.009', 'l': '0.0008'}"
11717,True,79,71,"{'h': '1', 'a': '5'}","{'h': '1.84838', 'a': '3.67827'}",2019-10-05 15:00:00,"{'w': '0.0918', 'd': '0.1263', 'l': '0.7819'}"
11719,True,90,238,"{'h': '0', 'a': '0'}","{'h': '1.44318', 'a': '0.353724'}",2019-10-05 15:00:00,"{'w': '0.7252', 'd': '0.212', 'l': '0.0628'}"
11720,True,81,78,"{'h': '1', 'a': '2'}","{'h': '1.23577', 'a': '2.0682'}",2019-10-05 17:30:00,"{'w': '0.1412', 'd': '0.2336', 'l': '0.6252'}"
11716,True,88,229,"{'h': '0', 'a': '2'}","{'h': '1.61884', 'a': '1.18825'}",2019-10-06 14:00:00,"{'w': '0.4735', 'd': '0.2691', 'l': '0.2574'}"
11718,True,74,80,"{'h': '1', 'a': '4'}","{'h': '1.27044', 'a': '2.15201'}",2019-10-06 14:00:00,"{'w': '0.1721', 'd': '0.2325', 'l': '0.5954'}"
11722,True,83,73,"{'h': '1', 'a': '0'}","{'h': '1.24109', 'a': '0.683967'}",2019-10-06 14:00:00,"{'w': '0.5216', 'd': '0.3114', 'l': '0.167'}"
11721,True,86,89,"{'h': '1', 'a': '0'}","{'h': '0.650296', 'a': '0.969204'}",2019-10-06 16:30:00,"{'w': '0.2281', 'd': '0.346', 'l': '0.4259'}"
11727,True,72,81,"{'h': '2', 'a': '0'}","{'h': '2.23324', 'a': '0.459112'}",2019-10-19 12:30:00,"{'w': '0.8303', 'd': '0.1277', 'l': '0.042'}"
11723,True,71,220,"{'h': '2', 'a': '1'}","{'h': '2.96692', 'a': '1.32184'}",2019-10-19 15:00:00,"{'w': '0.7539', 'd': '0.1481', 'l': '0.098'}"
11724,True,73,79,"{'h': '0', 'a': '0'}","{'h': '0.675554', 'a': '0.402873'}",2019-10-19 15:00:00,"{'w': '0.3837', 'd': '0.4302', 'l': '0.1861'}"
11725,True,80,86,"{'h': '1', 'a': '0'}","{'h': '2.30068', 'a': '0.197082'}",2019-10-19 15:00:00,"{'w': '0.8936', 'd': '0.0932', 'l': '0.0132'}"
11728,True,75,92,"{'h': '2', 'a': '1'}","{'h': '0.8291', 'a': '1.79569'}",2019-10-19 15:00:00,"{'w': '0.1307', 'd': '0.2209', 'l': '0.6484'}"
11731,True,82,90,"{'h': '1', 'a': '1'}","{'h': '0.891617', 'a': '0.846851'}",2019-10-19 15:00:00,"{'w': '0.3498', 'd': '0.3494', 'l': '0.3008'}"
11732,True,229,74,"{'h': '1', 'a': '1'}","{'h': '0.887495', 'a': '1.37695'}",2019-10-19 15:00:00,"{'w': '0.2018', 'd': '0.3345', 'l': '0.4637'}"
11726,True,78,88,"{'h': '0', 'a': '2'}","{'h': '0.616864', 'a': '4.02104'}",2019-10-19 17:30:00,"{'w': '0.007', 'd': '0.0293', 'l': '0.9637'}"
11729,True,89,87,"{'h': '1', 'a': '1'}","{'h': '0.791862', 'a': '1.03212'}",2019-10-20 16:30:00,"{'w': '0.2391', 'd': '0.3812', 'l': '0.3797'}"
11730,True,238,83,"{'h': '1', 'a': '0'}","{'h': '0.895722', 'a': '0.949735'}",2019-10-21 20:00:00,"{'w': '0.2926', 'd': '0.3964', 'l': '0.311'}"
11740,True,74,75,"{'h': '0', 'a': '9'}","{'h': '0.457334', 'a': '4.38046'}",2019-10-25 20:00:00,"{'w': '0.0032', 'd': '0.0132', 'l': '0.9836'}"
11737,True,88,71,"{'h': '3', 'a': '0'}","{'h': '3.19004', 'a': '0.980145'}",2019-10-26 12:30:00,"{'w': '0.8517', 'd': '0.1', 'l': '0.0483'}"
11734,True,220,72,"{'h': '3', 'a': '2'}","{'h': '1.15279', 'a': '1.04723'}",2019-10-26 15:00:00,"{'w': '0.3737', 'd': '0.3492', 'l': '0.2771'}"
11741,True,90,73,"{'h': '0', 'a': '0'}","{'h': '0.674903', 'a': '0.899526'}",2019-10-26 15:00:00,"{'w': '0.2583', 'd': '0.3633', 'l': '0.3784'}"
11742,True,81,238,"{'h': '1', 'a': '1'}","{'h': '2.33891', 'a': '1.16171'}",2019-10-26 15:00:00,"{'w': '0.7017', 'd': '0.1979', 'l': '0.1004'}"
11735,True,92,80,"{'h': '2', 'a': '4'}","{'h': '2.23494', 'a': '0.988321'}",2019-10-26 17:30:00,"{'w': '0.7194', 'd': '0.1734', 'l': '0.1072'}"
11738,True,86,229,"{'h': '1', 'a': '1'}","{'h': '0.603104', 'a': '1.93255'}",2019-10-27 14:00:00,"{'w': '0.0764', 'd': '0.1803', 'l': '0.7433'}"
11733,True,83,78,"{'h': '2', 'a': '2'}","{'h': '1.54014', 'a': '1.77892'}",2019-10-27 16:30:00,"{'w': '0.2675', 'd': '0.2977', 'l': '0.4348'}"
11736,True,87,82,"{'h': '2', 'a': '1'}","{'h': '2.18851', 'a': '1.35143'}",2019-10-27 16:30:00,"{'w': '0.5907', 'd': '0.2368', 'l': '0.1725'}"
11739,True,79,89,"{'h': '1', 'a': '3'}","{'h': '0.8924', 'a': '4.51232'}",2019-10-27 16:30:00,"{'w': '0.0079', 'd': '0.0224', 'l': '0.9697'}"
11745,True,73,89,"{'h': '1', 'a': '0'}","{'h': '1.86862', 'a': '0.641129'}",2019-11-02 12:30:00,"{'w': '0.7315', 'd': '0.1875', 'l': '0.081'}"
11743,True,83,229,"{'h': '1', 'a': '1'}","{'h': '1.02552', 'a': '1.5103'}",2019-11-02 15:00:00,"{'w': '0.2334', 'd': '0.281', 'l': '0.4856'}"
11744,True,71,87,"{'h': '1', 'a': '2'}","{'h': '0.741615', 'a': '2.38824'}",2019-11-02 15:00:00,"{'w': '0.0731', 'd': '0.1563', 'l': '0.7706'}"
11746,True,220,79,"{'h': '2', 'a': '0'}","{'h': '2.65496', 'a': '0.455082'}",2019-11-02 15:00:00,"{'w': '0.8783', 'd': '0.094', 'l': '0.0277'}"
11749,True,88,74,"{'h': '2', 'a': '1'}","{'h': '3.36132', 'a': '0.893889'}",2019-11-02 15:00:00,"{'w': '0.9119', 'd': '0.074', 'l': '0.0141'}"
11750,True,238,92,"{'h': '3', 'a': '0'}","{'h': '2.58392', 'a': '0.716613'}",2019-11-02 15:00:00,"{'w': '0.83', 'd': '0.1251', 'l': '0.0449'}"
11752,True,81,86,"{'h': '2', 'a': '3'}","{'h': '1.53597', 'a': '1.93192'}",2019-11-02 15:00:00,"{'w': '0.271', 'd': '0.258', 'l': '0.471'}"
11751,True,90,80,"{'h': '1', 'a': '2'}","{'h': '1.4744', 'a': '2.18313'}",2019-11-02 17:30:00,"{'w': '0.2033', 'd': '0.2538', 'l': '0.5429'}"
11747,True,78,75,"{'h': '0', 'a': '2'}","{'h': '0.44291', 'a': '0.981167'}",2019-11-03 14:00:00,"{'w': '0.155', 'd': '0.3517', 'l': '0.4933'}"
11748,True,72,82,"{'h': '1', 'a': '1'}","{'h': '1.15532', 'a': '0.243393'}",2019-11-03 16:30:00,"{'w': '0.6632', 'd': '0.2752', 'l': '0.0616'}"
11757,True,79,90,"{'h': '0', 'a': '2'}","{'h': '0.62104', 'a': '1.36017'}",2019-11-08 20:00:00,"{'w': '0.1585', 'd': '0.28', 'l': '0.5615'}"
11754,True,80,78,"{'h': '2', 'a': '0'}","{'h': '3.28903', 'a': '0.479488'}",2019-11-09 12:30:00,"{'w': '0.9423', 'd': '0.0481', 'l': '0.0096'}"
11753,True,92,81,"{'h': '3', 'a': '0'}","{'h': '2.4158', 'a': '0.474281'}",2019-11-09 15:00:00,"{'w': '0.8586', 'd': '0.1051', 'l': '0.0363'}"
11756,True,86,73,"{'h': '2', 'a': '1'}","{'h': '2.3306', 'a': '1.9213'}",2019-11-09 15:00:00,"{'w': '0.4754', 'd': '0.2446', 'l': '0.28'}"
11758,True,74,72,"{'h': '1', 'a': '2'}","{'h': '0.742281', 'a': '2.08883'}",2019-11-09 15:00:00,"{'w': '0.0761', 'd': '0.2071', 'l': '0.7168'}"
11759,True,82,238,"{'h': '1', 'a': '1'}","{'h': '1.5104', 'a': '0.923443'}",2019-11-09 15:00:00,"{'w': '0.5262', 'd': '0.2654', 'l': '0.2084'}"
11762,True,75,83,"{'h': '2', 'a': '0'}","{'h': '1.37055', 'a': '0.961339'}",2019-11-09 17:30:00,"{'w': '0.4439', 'd': '0.3099', 'l': '0.2462'}"
